1|The Shawshank Redemption|1994-09-23|R|Drama|142|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
1|The Shawshank Redemption|1994-09-23|R|Drama|142|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
2|Parasite|2019-05-30|R|Comedy, Drama, Thriller|132|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
2|Parasite|2019-05-30|R|Comedy, Drama, Thriller|132|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
6|Selma|2014-12-25|PG-13|Biography, Drama, History|128|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg
6|Selma|2014-12-25|PG-13|Biography, Drama, History|128|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg
8|Roma|2018-08-25|R|Drama|135|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dtIIyQyALk57ko5bjac7hi01YQ.jpg
8|Roma|2018-08-25|R|Drama|135|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dtIIyQyALk57ko5bjac7hi01YQ.jpg
9|The Farewell|2019-07-12|PG|Comedy, Drama|100|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7UrIarxfjxZC9YGj8H1ATKZMXVy.jpg
10|Moonlight|2016-10-21|R|Drama|111|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4911T5FbJ9eD2Faz5Z8cT3SUhU3.jpg
10|Moonlight|2016-10-21|R|Drama|111|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4911T5FbJ9eD2Faz5Z8cT3SUhU3.jpg
12|In the Mood for Love|2000-09-29|PG|Drama, Romance|98|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg
14|Pan's Labyrinth|2006-10-11|R|Drama, Fantasy, War|118|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7PurMm0gUOJZ8Uk0oyuZlt1CKfJ.jpg
14|Pan's Labyrinth|2006-10-11|R|Drama, Fantasy, War|118|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7PurMm0gUOJZ8Uk0oyuZlt1CKfJ.jpg
15|Slumdog Millionaire|2008-11-12|R|Drama, Romance|120|https://media.themoviedb.org/t/p/w220_and_h330_face/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg
16|Hidden Figures|2016-12-25|PG|Biography, Drama, History|127|https://media.themoviedb.org/t/p/w220_and_h330_face/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg
16|Hidden Figures|2016-12-25|PG|Biography, Drama, History|127|https://media.themoviedb.org/t/p/w220_and_h330_face/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg
18|The Color Purple|1985-12-18|PG-13|Drama|154|https://media.themoviedb.org/t/p/w220_and_h330_face/3Jc93sCl0DqkePYjw47zHpqj7YS.jpg
19|Life of Pi|2012-11-21|PG|Adventure, Drama, Fantasy|127|https://media.themoviedb.org/t/p/w220_and_h330_face/iLgRu4hhSr6V1uManX6ukDriiSc.jpg
19|Life of Pi|2012-11-21|PG|Adventure, Drama, Fantasy|127|https://media.themoviedb.org/t/p/w220_and_h330_face/iLgRu4hhSr6V1uManX6ukDriiSc.jpg
21|A Separation|2011-03-15|PG-13|Drama, Family|123|https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fmngHGvRYC9wT3nEFOcVsXGp9pH.jpg
22|Your Name|2016-08-26|PG|Animation, Drama, Fantasy|106|https://media.themoviedb.org/t/p/w220_and_h330_face/q719jXXEzOoYaps6babgKnONONX.jpg
23|The Intouchables|2011-11-02|R|Biography, Comedy, Drama|112|https://media.themoviedb.org/t/p/w220_and_h330_face/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg
24|Persepolis|2007-06-27|PG-13|Animation, Biography, Drama|96|https://media.themoviedb.org/t/p/w220_and_h330_face/aU8i2QAdTyRR1nYb36Gq51xXP8p.jpg
26|The Help|2011-08-10|PG-13|Drama|146|https://media.themoviedb.org/t/p/w220_and_h330_face/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg
27|Frida|2002-08-29|R|Biography, Drama, Romance|123|https://media.themoviedb.org/t/p/w220_and_h330_face/hpALYXywkLhLV8zieXpIg5xSv5u.jpg
28|Lady Bird|2017-11-03|R|Comedy, Drama|94|https://media.themoviedb.org/t/p/w220_and_h330_face/iySFtKLrWvVzXzlFj7x1zalxi5G.jpg
29|The Lunchbox|2013-09-20|PG|Drama, Romance|104|https://media.themoviedb.org/t/p/w220_and_h330_face/jSOiz1h97i3qwjZJXY8SeLvjPsl.jpg
30|Daughters of the Dust|1991-01-15|Not Rated|Drama, History|112|https://media.themoviedb.org/t/p/w220_and_h330_face/sk5qednzLeDZMIhto6Oa9QFKOon.jpg
